CPI,Pandemics Cases,Hotel Occupancy Rate,Visitor Arrival Number,GDP,BRI,CX stock price
-0.43333333333333335,0.0,81.33333333333333,1197870.6666666667,308313,66.2,6.0369703333333335
-0.16666666666666666,0.0,83.0,1303163.6666666667,315423,78.2,6.5163720000000005
-0.19999999999999998,0.0,83.33333333333333,1413350.0,333309,72,5.965153666666667
-0.16666666666666666,0.0,89.0,1607743.0,340295,90.9,5.749797666666666
-0.06666666666666667,203.33333333333334,81.0,1433834.3333333333,304457,72.6,5.601472666666666
-0.3333333333333333,381.6666666666667,24.333333333333332,548718.6666666666,293356,28.8,5.245005666666667
-0.6,0.0,80.33333333333333,1471801.6666666667,323046,64.6,6.717274666666666
0.3,0.0,88.66666666666667,1724591.6666666667,335810,89.7,8.019213333333333
0.06666666666666667,0.0,84.66666666666667,1645066.6666666667,313811,127,8.271220666666666
0.0,0.0,85.33333333333333,1692472.6666666667,317077,118.6,7.827591333333333
-0.06666666666666667,0.0,89.66666666666667,1915158.0,333880,134.5,7.505649666666667
0.06666666666666667,0.0,92.0,2017512.6666666667,352181,141.1,7.820029000000001
0.06666666666666667,0.0,84.0,1823303.3333333333,327783,30.5,8.024840666666668
0.10000000000000002,0.0,83.0,1836046.0,338730,29,8.097863333333333
0.10000000000000002,0.0,85.33333333333333,1991867.6666666667,363813,30.9,8.179613333333334
0.20000000000000004,0.0,91.0,2135255.3333333335,381799,35.2,7.642900666666667
0.13333333333333333,0.0,87.66666666666667,2075416.6666666667,355347,34.9,8.207600333333334
0.26666666666666666,0.0,84.0,1990331.6666666667,357109,33.3,7.891868
0.16666666666666666,0.0,86.33333333333333,2124910.3333333335,382405,35.5,8.875231
0.16666666666666666,0.0,88.33333333333333,2226382.6666666665,408491,39.6,11.142565666666668
-0.033333333333333326,0.0,84.66666666666667,2205272.3333333335,381839,40.3,12.190033
0.09999999999999998,0.0,81.66666666666667,2137850.3333333335,386249,38.1,12.557518
0.26666666666666666,0.0,87.33333333333333,2444798.6666666665,423798,42.1,13.069108666666667
0.7999999999999999,0.0,91.66666666666667,2601843.0,458870,49.9,13.451062
0.3,0.0,84.33333333333333,2425173.6666666665,418762,46.5,10.321288333333333
0.5333333333333333,0.0,82.33333333333333,2303327.6666666665,409388,42.9,10.283077666666667
-0.06666666666666665,0.0,84.33333333333333,2527769.0,436152,47.5,9.321225666666669
0.03333333333333329,0.0,87.66666666666667,2579268.3333333335,443186,50.8,5.6120790000000005
0.06666666666666667,0.0,79.0,2467904.3333333335,389033,49,5.478196666666666
-0.03333333333333333,0.0,68.0,2091162.3333333333,396706,40,6.702889
-0.3333333333333333,0.0,76.33333333333333,2487731.3333333335,421283,46.3,7.800285
0.7333333333333334,0.0,87.66666666666667,2810227.0,452223,58.4,8.880120333333332
0.26666666666666666,0.0,84.66666666666667,2874896.0,422783,60.4,9.564895666666667
0.16666666666666666,0.0,84.0,2743776.0,412768,56.3,10.415372333333332
-0.7333333333333334,0.0,86.0,3106644.6666666665,456830,66.4,12.703995666666666
1.2666666666666666,0.0,91.66666666666667,3284793.6666666665,483951,69.9,14.594132666666667
0.6,0.0,87.66666666666667,3235990.3333333335,463467,71.4,12.668472
0.6,0.0,87.66666666666667,3207736.6666666665,456607,69.7,12.757950666666666
-0.3,0.0,89.66666666666667,3697413.3333333335,495500,81.2,10.885848333333334
1.0,0.0,92.0,3832629.6666666665,518856,90.8,9.747099666666667
0.4000000000000001,0.0,87.33333333333333,3740909.3333333335,483654,82.1,10.684412333333333
0.26666666666666666,0.0,88.0,3700008.6666666665,473958,82.5,9.039820333333333
-0.6666666666666666,0.0,90.0,4351215.666666667,523740,90.9,9.236465666666668
1.2333333333333334,0.0,91.33333333333333,4412904.0,555707,105.1,10.152839
0.3666666666666667,0.0,87.0,4247444.0,509631,98.8,10.380721
0.4666666666666666,0.0,87.66666666666667,4207840.333333333,492375,105.8,10.145553
-0.2333333333333333,0.0,90.0,4832970.666666667,551059,104.9,10.45339
0.8666666666666667,0.0,90.33333333333333,4811346.333333333,585240,115.2,11.807890666666667
0.3,0.0,90.66666666666667,4899327.0,535907,108.8,11.357133
0.3,0.0,88.66666666666667,4610411.333333333,526194,98.2,10.670009333333333
0.13333333333333333,0.0,90.0,5376625.666666667,580793,102.2,10.754111
0.9333333333333332,0.0,89.66666666666667,5393248.0,617111,112,12.101771333333334
0.06666666666666667,0.0,85.66666666666667,5140228.333333333,572160,105,13.328908333333333
-0.20000000000000004,0.0,83.66666666666667,4635518.333333333,565750,95,14.828650333333334
0.0,0.0,86.33333333333333,5032361.0,614251,96,11.853792
0.9,0.0,90.0,4961091.0,646119,104,10.963154333333334
0.19999999999999998,0.0,82.66666666666667,4578370.0,590572,90.8,9.793133
-0.2333333333333333,0.0,84.66666666666667,4475054.666666667,585155,87.4,9.373725333333333
0.16666666666666666,0.0,88.33333333333333,4852653.0,636400,89.6,9.093447333333332
0.26666666666666666,0.0,92.0,4978890.0,678471,99.6,8.171403333333332
0.0,0.0,88.0,4747593.0,631450,91.5,8.779237333333333
0.2333333333333333,0.0,86.66666666666667,4522034.666666667,628300,84.9,9.175651333333334
0.10000000000000002,0.0,89.33333333333333,4942098.0,679453,89.7,9.424069666666668
0.2333333333333333,0.0,93.0,5278993.333333333,720408,104.4,9.899767
0.26666666666666666,0.0,91.66666666666667,5203218.333333333,684576,104.9,10.364891666666667
0.13333333333333333,0.0,90.0,4998794.666666667,673782,96.3,10.003655666666667
0.20000000000000004,0.0,90.33333333333333,5358569.666666667,723381,96.9,9.448390000000002
